Study_ID,Cytokine,Outcome,Type of Biomarker,LogHR,SE
Fukuda 2021,CRP,ORR,Response,0.08630137,1.123456892
Ishihara 2020,CRP,ORR,Response,0.231884058,0.834331972
Matsuzawa 2022,CRP,ORR,Response,0.208333333,0.413782117
Noguchi 2020,CRP,ORR,Response,0.577160494,0.589683261
Simeone 2014,CRP,ORR,Response,0.328125,0.576937729
Suzuki 2020,CRP,ORR,Response,0.349036403,0.645946892
Tachibana 2022,CRP,ORR,Response,0.327495622,0.777625138
Tomita 2022,CRP,ORR,Response,0.810714286,0.354390477
Ishihara 2020,CRP,PFS,Response,-1.08180517,0.318433797
Kankkunen 2022,CRP,PFS,Response,-1.057790294,0.253650361
Matsuzawa 2022,CRP,PFS,Response,-0.928219303,0.178252407
Suzuki 2020,CRP,PFS,Response,-0.634878272,0.559141257
Tachibana 2022,CRP,PFS,Response,-2.039920784,0.587394156
Tomita 2022,CRP,PFS,Response,-0.653886467,0.151883421
Chen 2022,CRP,OS,Response,-0.262364264,0.243025096
Harutani 2022,CRP,OS,Response,-0.808259988,0.438520437
Ishihara 2020,CRP,OS,Response,-2.856470206,0.794783137
Kankkunen 2022,CRP,OS,Response,-1.302912752,0.331087122
Kijima 2021,CRP,OS,Response,-0.512823626,0.547771464
Kijima 2021,CRP,OS,Response,-1.294727168,0.474186634
Laino 2020,CRP,OS,Response,-1.358409158,0.856259339
Laino 2020,CRP,OS,Response,-0.667829373,0.537489686
Laino 2020,CRP,OS,Response,-0.293415604,0.393129226
Matsuzawa 2022,CRP,OS,Response,-0.431782416,0.193136711
Suzuki 2020,CRP,OS,Response,-1.771556762,1.076507088
Tamura 2020,CRP,OS,Response,-1.829376333,0.683787653
Tomita 2022,CRP,OS,Response,-0.886655927,0.175262089
Kang 2020,IL-6,ORR,Predictive,0.327433628,0.482414321
Myojin 2022,IL-6,ORR,Predictive,0.539408867,0.558938099
Rossi 2022,IL-6,ORR,Predictive,0.577287066,0.795842072
Carril-Ajuria 2022,IL-6,PFS,Predictive,-0.173953307,0.391308765
Carril-Ajuria 2022,IL-6,PFS,Predictive,-0.425267735,0.14275913
Lambert 2022,IL-6,PFS,Predictive,-0.288931292,0.522030343
Myojin 2022,IL-6,PFS,Predictive,-0.787092793,0.351091996
Shenderov 2021,IL-6,PFS,Predictive,-0.562118918,0.72812059
Shi 2021,IL-6,PFS,Predictive,-0.643431588,0.39865772
Shi 2021,IL-6,PFS,Predictive,-1.643066093,1.206393276
Shi 2021,IL-6,PFS,Predictive,-0.786182047,0.397005906
Shi 2021,IL-6,PFS,Predictive,-0.795252403,0.493664229
Shi 2022,IL-6,PFS,Predictive,-0.722220428,0.362380988
Carril-Ajuria 2022,IL-6,OS,Predictive,-1.483874689,0.639082129
Carril-Ajuria 2022,IL-6,OS,Predictive,-0.928219303,0.170400772
DeKlerk 2021,IL-6,OS,Predictive,-0.451075619,0.1941054
Harutani 2022,IL-6,OS,Predictive,-0.56815069,0.648509844
Laino 2020,IL-6,OS,Predictive,-2.239645293,0.685569111
Laino 2020,IL-6,OS,Predictive,-0.165514438,0.424102206
Laino 2020,IL-6,OS,Predictive,-0.488580015,0.228794042
Laino 2020,IL-6,OS,Predictive,-1.098612289,0.260114603
Laino 2020,IL-6,OS,Predictive,-1.172482137,0.241004583
Laino 2020,IL-6,OS,Predictive,-1.124929597,0.263053829
Laino 2020,IL-6,OS,Predictive,-1.108232532,0.275639779
Rossi 2022,IL-6,OS,Predictive,-0.867100488,0.343978339
Shenderov 2021,IL-6,OS,Predictive,-2.040220829,0.727712099
Shi 2021,IL-6,OS,Predictive,-0.749999992,0.386277626
Shi 2021,IL-6,OS,Predictive,-0.030529205,1.285036658
Shi 2021,IL-6,OS,Predictive,-0.538246219,0.523520637
Shi 2021,IL-6,OS,Predictive,-0.856116009,0.661445082
Shi 2022,IL-6,OS,Predictive,-0.633927821,0.474315719
Carril-Ajuria 2022,IL-8,ORR,Predictive,1.333333333,0.93960478
Schalper 2020,IL-8,ORR,Predictive,0.616204691,0.278978332
Schalper 2020,IL-8,ORR,Predictive,0.578947368,0.413861345
Schalper 2020,IL-8,ORR,Predictive,0.592783505,0.26826302
Schalper 2020,IL-8,ORR,Predictive,0.698924731,0.265057823
Schalper 2020,IL-8,ORR,Predictive,0.287234043,0.657535506
Schalper 2020,IL-8,ORR,Predictive,0.434599156,0.41291966
Carril-Ajuria 2022,IL-8,PFS,Predictive,-0.231111721,0.406055698
Chao 2021,IL-8,PFS,Predictive,-1.139434283,0.755389476
Lambert 2022,IL-8,PFS,Predictive,-0.175632569,0.997850696
Schalper 2020,IL-8,PFS,Predictive,-0.548121409,0.162242032
Schalper 2020,IL-8,PFS,Predictive,-0.343589704,0.146174201
Schalper 2020,IL-8,PFS,Predictive,-0.75612198,0.166685421
Schalper 2020,IL-8,PFS,Predictive,-0.3074847,0.121088174
Schalper 2020,IL-8,PFS,Predictive,-0.246860078,0.230578625
Schalper 2020,IL-8,PFS,Predictive,-0.470003629,0.150896565
Shenderov 2021,IL-8,PFS,Predictive,0.254642218,0.423017366
Shi 2021,IL-8,PFS,Predictive,-1.493802569,1.024318341
Shi 2022,IL-8,PFS,Predictive,-0.463734016,0.387474813
Carril-Ajuria 2022,IL-8,OS,Predictive,-0.438254931,0.692946174
Harutani 2022,IL-8,OS,Predictive,-0.771033719,0.351286633
Schalper 2020,IL-8,OS,Predictive,-0.947789399,0.178221083
Schalper 2020,IL-8,OS,Predictive,-0.722705983,0.155844154
Schalper 2020,IL-8,OS,Predictive,-1.118414916,0.185651201
Schalper 2020,IL-8,OS,Predictive,-0.940007258,0.153519745
Schalper 2020,IL-8,OS,Predictive,-0.609765572,0.221000869
Schalper 2020,IL-8,OS,Predictive,-0.641853886,0.147337355
Shenderov 2021,IL-8,OS,Predictive,-0.415515444,0.47446359
Shi 2021,IL-8,OS,Predictive,-1.441492522,1.106738078
Shi 2022,IL-8,OS,Predictive,-0.59663628,0.490498537
