"Feature","Gain","Cover","Frequency"
"Randomized1",0.185271987595424,0.0142728093947606,0.0344086021505376
"Heme_Relapsed_and_or_referactory1",0.115062940978374,0.0206564287865101,0.0408602150537634
"Did_Trial_State_Need_For_Clearly_Documented_Reasons_For_WithdrawalYes",0.0979491227663811,0.0331827762722072,0.0623655913978495
"Non_Specific_Effort1",0.0782514013252597,0.0627220716651611,0.0881720430107527
"Solid_adjuvant_after_defintive_tx1",0.0720486174371151,0.0859981933152665,0.0881720430107527
"Heme_BMT1",0.0696266843712521,0.0988256549232159,0.0537634408602151
"Control_Group_1_placebo_2SOCalone_3_none2",0.0689946485128631,0.0213188798554652,0.0602150537634409
"Mono_Or_Combo_Therapy_In_Interventional_ArmMono",0.0528584629377447,0.0532369768142126,0.10752688172043
"Mono_Or_Combo_Therapy_In_Control_ArmNone",0.0493236492998289,0.0246010237880157,0.0494623655913978
"No_Mitigation_Stratigies1",0.0368681903622807,0.0707317073170732,0.0516129032258065
"Mono_Or_Combo_Therapy_In_Control_ArmMono",0.0290937727377105,0.0177657332128877,0.043010752688172
"Control_Group_1_placebo_2SOCalone_3_none3",0.0283778796372944,0.0930141523637459,0.0580645161290323
"Blinding_Practice_1_pt_blind_0_open1",0.025443352701524,0.0241794640168624,0.0408602150537634
"Single_Site_Or_Multi_SiteSingle_Site",0.0142233202778309,0.00605239385727191,0.0279569892473118
"SponserIndustry",0.0130177885768088,0.060132490213791,0.0344086021505376
"Study_TypeSingle_Group_Assignment",0.0103169348094234,0.0994278831677206,0.032258064516129
"Heme_Treatment_naieve1",0.00981475737694253,0.0359831376091539,0.0193548387096774
"Solid_neoadjuvant1",0.00767533974535868,0.071093044263776,0.0236559139784946
"SponserGovernment",0.00689033544732054,0.00159590484793737,0.00860215053763441
"Solid_radition_systemic_tx1",0.00584404807654767,0.066576332429991,0.021505376344086
"Unblinding_Or_Cross_Over0",0.0054116552066145,0.00319180969587474,0.0150537634408602
"Solid_Metastatic_tx_naieve1",0.00540963575930388,0.0193917494730503,0.0129032258064516
"Location_Of_TrialUsa",0.00527411232722568,0.0135802469135802,0.00860215053763441
"Study_TypeProspective_Cohort",0.00409301567967556,0.00147545919903643,0.00860215053763441
"SponserNon-profit",0.00263709128865824,0.0003613369467028,0.00645161290322581
"Location_Of_TrialUnknown",0.000221254765237261,0.000632339656729901,0.0021505376344086
