"Feature","Center","Scale"
"n_measurements",4.8926,3.3486
"mean_ctdna",59.8647,268.2282
"median_ctdna",39.6705,209.1889
"max_ctdna",163.506,701.3774
"min_ctdna",6.3808,24.7793
"sd_ctdna",73.6815,328.0615
"n_positive",1.9091,1.8974
"n_negative",2.9835,3.3191
"became_negative",0.2645,0.4429
"became_positive",0.0744,0.2635
"last_value",98.6451,468.5812
"first_value",55.3526,378.9968
"pct_change_baseline",5438.0031,49813.0613
"time_span_days",334.1901,290.5164
"trend",0.3883,2.3967
"cv_ctdna",0.9714,0.9646
"trend_per_day",-0.0363,0.855
"clearance_pattern",0.2645,0.4429
"conversion_pattern",0.0744,0.2635
"persistent_positive",0.3636,0.483
"persistent_negative",0.2975,0.4591
