Slide Number,Current Title,Suggested Title,Citation Numbers,Citation Text
1,"","Understanding ctDNA Testing in Bladder Cancer","None",""
2,"Disclosure","Disclosures","None",""
3,"Learning Objective","Learning Objective","None",""
4,"What is ctDNA?","What is ctDNA?","1","Wikipedia (2025) Circulating tumor DNA. <i>Wikipedia</i>"
5,"Two Platforms","ctDNA Testing Platforms","2","Various (2025) Cell-free DNA and circulating tumor DNA. <i>MDPI Cells</i>"
6,"Clinical applications of ctDNA testing","Clinical applications of ctDNA testing","3","Natera (2025) Signatera Advanced Cancer Detection. <i>Natera Website</i>"
7,"Neo-Adjuvant","Neoadjuvant Therapy Setting","None",""
8,"What We Know From NIAGRA","What We Know From NIAGRA","None",""
9,"What we do not know","What we do not know","4","UroToday (2025) NEO-BLAST: Neoadjuvant Therapy for Bladder Cancer Followed by Active Surveillance Versus Treatment. <i>UroToday Conference Highlights - AUA 2025</i>"
10,"A pre-cystectomy ctDNA quantitative threshold may identify patients who need additional NAT","A pre-cystectomy ctDNA quantitative threshold may identify patients who need additional NAT","None",""
11,"Adjuvant","Adjuvant Therapy Setting","None",""
12,"ctDNA identifies patients who benefit from ICI adjuvant therapy","ctDNA identifies patients who benefit from ICI adjuvant therapy","5, 6","Powles et al. (2022) ctDNA-guided adjuvant immunotherapy in urothelial carcinoma. <i>European Urology Oncology</i>; Powles et al. (2022) ctDNA-guided adjuvant immunotherapy in urothelial carcinoma. <i>European Urology Oncology</i> PMCID: PMC8495594"
13,"CheckMate 274: Replication of Findings","CheckMate 274: Replication of Findings","7","UroToday (2025) CheckMate 274: Adjuvant Nivolumab Versus Placebo for High-Risk Muscle-Invasive Urothelial Carcinoma - 5-Year Efficacy and ctDNA Results. <i>UroToday Conference Highlights - ESMO 2025</i>"
14,"IMvigor011: First Prospective ctDNA-Guided Trial","IMvigor011: First Prospective ctDNA-Guided Trial","8","Powles et al. (2025) Atezolizumab as Adjuvant Therapy in Patients with Muscle-Invasive Urothelial Carcinoma. <i>New England Journal of Medicine</i> DOI: 10.1056/NEJMoa2511885"
15,"What We Don’t Know","What We Don’t Know","None",""
16,"Surveillance","Surveillance Setting","None",""
17,"ctDNA identifies patients at low risk for reccurence after surgery","ctDNA identifies patients at low risk for reccurence after surgery","9","Powles et al. (2025) ctDNA-guided surveillance in urothelial carcinoma. <i>European Urology Oncology</i> DOI: S2588-9311(25)00124-5"
18,"Can ctDNA-guided surveillance safely replace scheduled imaging surveillance for detecting recurrences outside the urothelial tract after curative-intent surgery?","Can ctDNA-guided surveillance safely replace scheduled imaging surveillance for detecting recurrences outside the urothelial tract after curative-intent surgery?","None",""
19,"ctDNA-Guided Surveillance After Curative-Intent Therapy in Urothelial Carcinoma (GUIDE-UC)","ctDNA-Guided Surveillance After Curative-Intent Therapy in Urothelial Carcinoma (GUIDE-UC)","None",""
20,"Metastatic","Metastatic Disease Setting","None",""
21,"Quantitative baseline ctDNA is prognostic prior to a new line of therapy","Quantitative baseline ctDNA is prognostic prior to a new line of therapy","10, 11","Powles et al. (2024) ctDNA response assessment in metastatic urothelial carcinoma. <i>Nature Medicine</i> PMCID: PMC11175790; Powles et al. (2024) ctDNA response assessment in metastatic urothelial carcinoma. <i>Nature Medicine</i> DOI: 10.1038/s41591-024-03091-7"
22,"ctDNA clearance as a surrogate endpoint in metastatic bladder cancer?","ctDNA clearance as a surrogate endpoint in metastatic bladder cancer?","10, 11","Powles et al. (2024) ctDNA response assessment in metastatic urothelial carcinoma. <i>Nature Medicine</i> PMCID: PMC11175790; Powles et al. (2024) ctDNA response assessment in metastatic urothelial carcinoma. <i>Nature Medicine</i> DOI: 10.1038/s41591-024-03091-7"
23,"Response Criteria","Response Criteria","None",""
24,"RECIST criteria for ctDNA?","RECIST criteria for ctDNA?","12","Powles et al. (2023) RECIST criteria for ctDNA response. <i>Annals of Oncology</i> DOI: S0923-7534(23)05114-1"
25,"Qualitative ctDNA Response Criteria is Non-inferior to Quantitative and ML Models","Qualitative ctDNA Response Criteria is Non-inferior to Quantitative and ML Models","None",""
26,"Acknowledgements","Acknowledgements","None",""
27,"","Thank You","None",""
