"Study_Name","Year","Population","Intervention","Primary_Endpoint","Result","TRAE_Rate","Limitations","Reference"
"KEYNOTE-045",2017,"Metastatic UC, platinum-refractory","Pembrolizumab vs Chemotherapy","OS","OS: 10.3 vs 7.4 months (HR 0.73)","15% vs 49%","Limited to platinum-refractory patients","Bellmunt et al. NEJM 2017"
"CheckMate-274",2021,"MIBC, adjuvant setting","Nivolumab vs Placebo","DFS","DFS: 20.8 vs 10.8 months (HR 0.70)","17% vs 7%","Adjuvant setting only; DFS endpoint","Bajorin et al. NEJM 2021"
"IMvigor-130",2020,"Metastatic UC, first-line","Atezolizumab + Chemo vs Chemo","OS","OS: 16.0 vs 13.4 months (HR 0.85)","44% vs 45%","No OS benefit in ITT population","Galsky et al. Lancet 2020"
"EV-301",2021,"Metastatic UC, platinum-refractory","Enfortumab Vedotin vs Chemotherapy","OS","OS: 12.9 vs 8.9 months (HR 0.70)","51% vs 50%","High toxicity; neuropathy common","Powles et al. NEJM 2021"
"TROPHY-U-01",2021,"Metastatic UC, platinum-refractory","Sacituzumab Govitecan","ORR","ORR: 27%","63%","Single-arm study; limited follow-up","Tagawa et al. JCO 2021"
"KEYNOTE-052",2017,"Metastatic UC, cisplatin-ineligible","Pembrolizumab","ORR","ORR: 29%","18%","Single-arm study; cisplatin-ineligible only","Balar et al. Lancet 2017"
"IMvigor-210",2016,"Metastatic UC, platinum-refractory","Atezolizumab","ORR","ORR: 15%","16%","Single-arm study; modest activity","Rosenberg et al. Lancet 2016"
"KEYNOTE-361",2020,"Metastatic UC, first-line","Pembrolizumab + Chemo vs Chemo","OS","OS: 17.0 vs 14.3 months (HR 0.86)","62% vs 58%","No significant OS benefit","Powles et al. Lancet 2020"
"EV-201",2020,"Metastatic UC, platinum-refractory","Enfortumab Vedotin","ORR","ORR: 44%","51%","Single-arm study; neuropathy toxicity","Rosenberg et al. JCO 2020"
"TROPHY-U-02",2022,"Metastatic UC, platinum-refractory","Sacituzumab Govitecan","ORR","ORR: 28%","63%","Single-arm study; myelosuppression","Tagawa et al. JCO 2022"
